Depth (ft),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
1,2,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,1,1,1,2,0,1,0,2,0,1,0,0
2,0,2,0,0,0,1,1,0,0,0,0,1,2,0,0,1,0,0,1,0,2,1,0,0,0,2,2,2,0,0,0,0,0,0
3,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,2,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0
4,0,0,0,0,1,0,2,0,0,0,0,2,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0,2,1,0,1,1,0,1,1,1,1,0,0,0,0,2,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0
6,0,1,0,1,0,0,0,2,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0
7,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
8,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0
9,0,0,0,0,2,0,0,0,0,2,1,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
10,1,0,0,1,1,1,0,0,1,0,0,0,1,1,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,2,0,0,0,2,0,0,2,0,0,1,0,2
12,0,0,1,0,0,2,0,0,0,2,0,0,0,1,2,0,0,0,1,0,0,1,0,0,2,0,1,0,4,0,2,3,0,0
13,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,5,0,1,2,1,1
14,6,2,0,0,0,0,4,4,0,0,0,0,0,0,0,1,0,12,0,1,0,0,0,1,0,0,2,0,23,0,0,7,0,0
15,18,0,0,2,0,0,17,14,0,0,0,0,0,0,1,0,0,33,2,0,0,0,0,0,0,0,0,2,23,0,1,6,1,0
16,13,0,0,0,0,31,19,19,29,0,2,11,14,16,15,22,26,37,15,0,0,0,0,0,0,0,1,18,16,20,0,8,1,5
17,17,0,1,0,0,21,19,17,35,0,0,11,16,21,22,32,22,27,22,1,0,0,0,1,1,0,0,21,32,29,1,12,2,6
18,21,0,0,1,0,35,22,17,38,0,0,25,19,32,21,33,34,28,34,0,1,0,0,0,0,56,1,26,26,39,2,10,0,11
19,32,0,0,0,0,41,16,19,40,0,0,44,27,38,17,32,42,23,27,1,2,1,0,0,0,44,0,21,26,45,0,27,0,13
20,41,0,0,2,1,44,13,19,26,0,0,30,20,36,15,28,32,23,26,2,0,0,1,0,0,19,1,19,19,34,0,43,0,14
21,38,12,25,20,9,26,18,18,23,9,28,21,8,30,16,20,19,20,18,14,8,31,29,39,19,17,20,18,17,25,23,28,78,15
22,34,14,11,21,7,32,17,24,24,12,29,25,11,19,14,18,22,15,19,18,14,22,24,27,19,15,16,17,15,25,23,32,61,19
23,28,10,12,17,8,22,18,24,13,6,18,19,7,23,19,15,11,17,15,17,13,24,19,26,12,16,15,14,13,26,25,32,55,33
24,21,10,11,15,10,21,17,27,14,5,16,16,6,18,18,14,12,17,14,11,13,19,19,23,10,11,11,9,13,23,14,29,39,29
25,20,8,9,18,6,20,12,28,16,7,12,11,7,17,11,13,15,14,10,10,11,12,14,15,10,8,8,10,9,13,17,19,37,26
